"filename", "language", "Shell Script", "Python", "Markdown", "Docker", "pip requirements", "YAML", "MS SQL", "JavaScript", "HTML", "Properties", "PostCSS", "JSON", "toml", "comment", "blank", "total"
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/Dockerfile", "Docker", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/admin.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 0, 24, 78, 402
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/auth.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 0, 11, 45, 255
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/authController.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 11, 71
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/billing.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 7, 23, 122
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/legacyAnalytics.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/markets.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 35, 216
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/marketsService.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 12, 185
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/user.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 416, 0, 0, 0, 0, 0, 30, 91, 537
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/__tests__/wallet.test.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 7, 18, 93
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/app.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 14, 21, 120
"/Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/back_end/config/env.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 10, 60
