Date : 2026-04-14 21:36:38
Directory : /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src
Total : 143 files,  17685 codes, 659 comments, 2865 blanks, all 21209 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/index.html                                              | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/index.js                                                | JavaScript       |        131 |          0 |         25 |        156 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/log_design.md                                           | Markdown         |        121 |          0 |         36 |        157 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/login.html                                              | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/login.js                                                | JavaScript       |        118 |          0 |         25 |        143 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/membership.html                                         | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/membership.js                                           | JavaScript       |        179 |          1 |         21 |        201 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/menu.html                                               | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/menu.js                                                 | JavaScript       |        179 |          8 |         27 |        214 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/nginx.conf                                              | Properties       |         24 |          4 |          6 |         34 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/profile.html                                            | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/profile.js                                              | JavaScript       |        703 |          0 |         80 |        783 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/proxy_params.conf                                       | Properties       |          7 |          0 |          1 |          8 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/register.html                                           | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/register.js                                             | JavaScript       |        186 |          0 |         32 |        218 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/shared.js                                               | JavaScript       |         97 |          0 |          6 |        103 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/styles.css                                              | PostCSS          |         57 |         13 |         15 |         85 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/terminal.html                                           | HTML             |         24 |          0 |          1 |         25 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/terminal.js                                             | JavaScript       |      1,913 |          0 |        142 |      2,055 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/wallet.html                                             | HTML             |         21 |          0 |          1 |         22 |
| /Users/mike/Duke/fintech512/final_project/pred_market_data_platform/src/fullstack/front_end/wallet.js                                               | JavaScript       |        239 |          5 |         29 |        273 |
| Total                                                                                                                                               |                  |     17,685 |        659 |      2,865 |     21,209 |
+-----------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
